time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-12T21:08:14.687Z,68.818,-148.266,0.1,2.8,ml,,,,0.76,ak,ak20252314,2018-09-12T21:12:43.166Z,"135km NW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-12T21:03:18.983Z,68.8284,-148.2657,0,2.6,ml,,,,0.75,ak,ak20252310,2018-09-12T21:11:02.549Z,"136km NW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-12T20:49:04.312Z,57.2232,-152.939,78.2,2.8,ml,,,,0.7,ak,ak20252301,2018-09-12T20:55:38.662Z,"63km SSW of Kodiak Station, Alaska",earthquake,,5.5,,,automatic,ak,ak
2018-09-12T20:47:11.300Z,-21.1092,-67.6086,183.31,4.2,mb,,95,1.668,0.51,us,us2000hdmx,2018-09-12T21:12:48.514Z,"108km SW of Uyuni, Bolivia",earthquake,8.9,12.8,0.216,6,reviewed,us,us
2018-09-12T20:38:14.398Z,58.4755,-156.5253,199.1,2.5,ml,,,,0.86,ak,ak20252290,2018-09-12T20:44:15.342Z,"24km SSE of King Salmon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-12T20:32:25.390Z,33.4905,-116.804,2.69,2.55,ml,104,13,0.01488,0.22,ci,ci38057983,2018-09-12T21:00:52.640Z,"8km NE of Aguanga, CA",earthquake,0.11,0.27,0.157,123,reviewed,ci,ci
2018-09-12T20:28:24.080Z,19.2023335,-155.4276733,29.43,2.67,ml,14,180,0.04513,0.12,hv,hv70590727,2018-09-12T20:34:11.940Z,"5km E of Pahala, Hawaii",earthquake,0.7,1.52,0.32,4,automatic,hv,hv
2018-09-12T20:25:47.650Z,-22.7886,-70.6633,24.11,3.9,mb,,185,0.656,1.32,us,us2000hdmc,2018-09-12T21:10:42.193Z,"90km SSW of Tocopilla, Chile",earthquake,4.4,11.8,0.363,2,reviewed,us,us
2018-09-12T20:11:34.640Z,19.3479996,-155.2208405,6.3,2.88,ml,53,59,0.02614,0.19,hv,hv70590712,2018-09-12T21:09:39.040Z,"9km S of Volcano, Hawaii",earthquake,0.29,0.36,3.06,33,automatic,hv,hv
2018-09-12T19:34:31.573Z,56.5695,-149.3284,0,2.9,ml,,,,0.89,ak,ak20252266,2018-09-12T19:51:14.725Z,"230km SE of Kodiak, Alaska",earthquake,,4.8,,,automatic,ak,ak
