time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-31T21:01:53.670Z,19.4011669,-155.281662,0.54,1.97,ml,23,39,0.009517,0.14,hv,hv70677662,2018-10-31T21:07:34.950Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.2,0.22,12,automatic,hv,hv
2018-10-31T20:53:42.370Z,32.5936667,-116.9885,3.51,1.29,ml,20,242,0.05117,0.15,ci,ci37409914,2018-10-31T20:57:29.206Z,"7km SE of Chula Vista, CA",quarry blast,0.66,0.36,0.166,10,automatic,ci,ci
2018-10-31T20:52:59.570Z,37.6705017,-118.8186646,10.31,0.87,md,7,165,0.008555,0.04,nc,nc73104481,2018-10-31T20:54:34.366Z,"15km ENE of Mammoth Lakes, CA",earthquake,2.76,4,0.14,7,automatic,nc,nc
2018-10-31T20:43:27.610Z,37.6443329,-118.8528366,4.77,1.03,md,11,111,0.01489,0.03,nc,nc73104471,2018-10-31T20:45:04.463Z,"11km E of Mammoth Lakes, CA",earthquake,0.98,0.59,0.22,9,automatic,nc,nc
2018-10-31T20:38:24.736Z,61.0331,-151.8656,89.5,1.3,ml,,,,0.43,ak,ak20307070,2018-10-31T20:41:41.537Z,"49km NW of Nikiski, Alaska",earthquake,,1,,,automatic,ak,ak
2018-10-31T20:34:53.910Z,37.6483345,-118.8496704,5.05,1.2,md,11,123,0.01507,0.04,nc,nc73104461,2018-10-31T20:36:30.388Z,"11km E of Mammoth Lakes, CA",earthquake,0.79,1.38,0.14,11,automatic,nc,nc
2018-10-31T20:34:37.200Z,37.6518326,-118.8535004,3.53,1.04,md,9,133,0.01969,0.05,nc,nc73104456,2018-10-31T20:36:15.003Z,"11km E of Mammoth Lakes, CA",earthquake,0.77,1.05,0.16,9,automatic,nc,nc
2018-10-31T20:29:42.780Z,36.6795006,-121.3113327,5.14,2.2,md,5,164,0.2047,0.06,nc,nc73104436,2018-10-31T21:21:04.812Z,"12km S of Tres Pinos, CA",earthquake,1.31,3.66,,1,automatic,nc,nc
2018-10-31T20:23:13.290Z,37.6533318,-118.854332,3.61,0.94,md,8,124,0.02122,0.04,nc,nc73104426,2018-10-31T20:24:49.416Z,"11km E of Mammoth Lakes, CA",earthquake,1.6,1.49,0.23,7,automatic,nc,nc
2018-10-31T20:22:14.010Z,37.6471672,-118.8535004,4.76,1.07,md,12,116,0.01674,0.04,nc,nc73104421,2018-10-31T21:20:03.808Z,"11km E of Mammoth Lakes, CA",earthquake,0.87,0.69,0.41,11,automatic,nc,nc
2018-10-31T20:17:51.790Z,63.2629,-151.37,2.5,1.4,ml,,,,1,ak,ak20307068,2018-10-31T20:22:57.961Z,"122km NNW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-31T20:16:03.410Z,37.6445007,-118.8508301,4.97,1.65,md,20,84,0.01355,0.03,nc,nc73104406,2018-10-31T20:45:04.598Z,"11km E of Mammoth Lakes, CA",earthquake,0.28,0.49,0.31,21,automatic,nc,nc
2018-10-31T20:12:46.450Z,37.6538333,-118.8463333,5.57,0.34,md,9,133,0.01789,0.02,nc,nc73104396,2018-10-31T20:35:09.223Z,"12km E of Mammoth Lakes, CA",earthquake,0.9,31.61,0.058,6,reviewed,nc,nc
2018-10-31T20:03:42.600Z,37.6481667,-118.848,4.69,0.21,md,9,121,0.01402,0.04,nc,nc73104386,2018-10-31T20:57:04.664Z,"12km E of Mammoth Lakes, CA",earthquake,1.22,2.54,0.162,8,reviewed,nc,nc
2018-10-31T19:49:14.677Z,62.9377,-151.3406,117.4,1.6,ml,,,,0.34,ak,ak20307062,2018-10-31T19:54:02.509Z,"93km NW of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2018-10-31T19:42:51.318Z,39.0556,-119.6755,7.9,1.3,ml,16,47.6,0.068,0.1814,nn,nn00663598,2018-10-31T20:15:27.235Z,"4km ENE of Johnson Lane, Nevada",earthquake,,1.1,0.37,10,reviewed,nn,nn
2018-10-31T19:41:07.670Z,35.0605,-118.339,-1.01,1.42,ml,20,44,0.06977,0.14,ci,ci37409842,2018-10-31T20:38:35.197Z,"13km SE of Tehachapi, CA",quarry blast,0.27,31.61,0.133,24,reviewed,ci,ci
2018-10-31T19:23:07.390Z,33.4956667,-116.7906667,5.28,0.3,ml,15,174,0.08261,0.09,ci,ci37409818,2018-10-31T20:43:24.000Z,"9km NE of Aguanga, CA",earthquake,0.24,0.71,0.068,5,reviewed,ci,ci
2018-10-31T19:10:35.490Z,36.047,-117.7183333,2.26,0.79,ml,13,72,0.04381,0.08,ci,ci37409810,2018-10-31T19:25:16.358Z,"21km E of Coso Junction, CA",earthquake,0.15,0.21,0.175,4,reviewed,ci,ci
2018-10-31T19:03:49.790Z,46.0001667,-112.4741667,-2,1.5,ml,7,112,0.059,0.1,mb,mb80317424,2018-10-31T19:34:47.540Z,"4km E of Butte, Montana",quarry blast,0.63,31.61,0.157,6,reviewed,mb,mb
2018-10-31T19:02:37.670Z,35.2918333,-118.5416667,7.62,1.04,ml,12,91,0.09888,0.1,ci,ci37409802,2018-10-31T20:27:10.835Z,"20km NNW of Tehachapi, CA",earthquake,0.25,0.63,0.173,10,reviewed,ci,ci
2018-10-31T18:46:30.610Z,38.8375015,-122.8373337,1.9,1.05,md,10,116,0.01821,0.03,nc,nc73104361,2018-10-31T18:48:18.397Z,"10km NW of The Geysers, CA",earthquake,0.33,0.63,,1,automatic,nc,nc
2018-10-31T18:45:13.890Z,37.6243333,-119.0318333,-0.47,1.02,md,11,73,0.006032,0.05,nc,nc73104356,2018-10-31T20:25:02.474Z,"5km WSW of Mammoth Lakes, CA",earthquake,0.19,0.26,0.432,9,reviewed,nc,nc
2018-10-31T18:42:22.482Z,69.5299,-144.2949,0.1,2,ml,,,,0.77,ak,ak20306918,2018-10-31T18:55:01.874Z,"71km SSW of Kaktovik, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-10-31T18:39:23.050Z,37.8325005,-121.980835,5.49,1.68,md,8,85,0.06702,0.03,nc,nc73104346,2018-10-31T19:33:04.397Z,"2km W of Diablo, CA",earthquake,0.34,0.74,0.15,7,automatic,nc,nc
2018-10-31T18:15:24.420Z,46.7626666666667,-119.289166666667,3.51,1.62,ml,17,109,,0.13,uw,uw61501792,2018-10-31T18:42:39.490Z,"11km SW of Othello, Washington",earthquake,0.35,0.64,0.125425230018557,16,reviewed,uw,uw
2018-10-31T18:03:25.770Z,33.8691667,-116.8948333,12.99,2.66,ml,119,22,0.08613,0.15,ci,ci37409762,2018-10-31T20:35:16.317Z,"6km SSW of Banning, CA",earthquake,0.09,0.24,0.178,149,reviewed,ci,ci
2018-10-31T18:01:15.610Z,37.5348333,-118.8296667,5.14,1,md,17,180,0.0551,0.02,nc,nc73104326,2018-10-31T20:35:03.537Z,"14km WSW of Toms Place, CA",earthquake,0.58,0.88,0.127,14,reviewed,nc,nc
2018-10-31T18:00:37.070Z,37.529335,-118.8291702,5.02,1.62,md,21,205,0.06059,0.02,nc,nc73104321,2018-10-31T20:01:03.351Z,"14km WSW of Toms Place, CA",earthquake,0.83,0.85,0.3,20,automatic,nc,nc
2018-10-31T17:53:40.710Z,43.6858333,-110.886,3.12,-0.36,ml,4,172,0.113,0.22,mb,mb80317409,2018-10-31T19:40:52.780Z,"18km N of Moose Wilson Road, Wyoming",earthquake,1.51,12.3,0.17,3,reviewed,mb,mb
