time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-31T22:13:17.477Z,62.8649,-149.3053,74,1.2,ml,,,,0.4,ak,ak20307233,2018-10-31T22:16:54.344Z,"61km SSW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-10-31T22:03:43.982Z,64.9404,-147.3327,4.4,1.4,ml,,,,0.42,ak,ak20307229,2018-10-31T22:12:43.329Z,"18km NNE of Badger, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-31T22:03:27.560Z,33.128,-117.0773333,15.27,1.04,ml,13,99,0.1348,0.22,ci,ci37409994,2018-10-31T22:07:16.640Z,"0km NE of Escondido, CA",earthquake,0.46,1.17,0.37,9,automatic,ci,ci
2018-10-31T21:37:42.230Z,33.488,-116.7878333,4.43,0.7,ml,26,42,0.02646,0.21,ci,ci37409962,2018-10-31T21:41:25.476Z,"9km NE of Aguanga, CA",earthquake,0.29,0.59,0.135,22,automatic,ci,ci
2018-10-31T21:34:22.220Z,34.0248333,-117.1123333,8.49,0.84,ml,24,98,0.01061,0.12,ci,ci37409954,2018-10-31T22:00:58.179Z,"5km SSE of Mentone, CA",earthquake,0.2,0.42,0.134,16,reviewed,ci,ci
2018-10-31T21:29:28.850Z,38.7591667,-122.7286682,2.46,1.55,md,18,70,0.01397,0.04,nc,nc73104501,2018-10-31T22:06:04.066Z,"3km SE of The Geysers, CA",earthquake,0.25,0.56,0.15,5,automatic,nc,nc
2018-10-31T21:27:36.748Z,62.4401,-147.1085,10.4,1.2,ml,,,,0.59,ak,ak20307096,2018-10-31T21:32:11.022Z,"89km WNW of Glennallen, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-31T21:01:53.670Z,19.4011669,-155.281662,0.54,1.97,ml,23,39,0.009517,0.14,hv,hv70677662,2018-10-31T21:07:34.950Z,"5km SW of Volcano, Hawaii",earthquake,0.17,0.2,0.22,12,automatic,hv,hv
2018-10-31T20:53:42.290Z,32.625,-116.9778333,-0.43,1.23,ml,19,225,0.04375,0.21,ci,ci37409914,2018-10-31T21:55:40.146Z,"6km SE of Bonita, CA",quarry blast,0.67,31.61,0.182,9,reviewed,ci,ci
2018-10-31T20:52:59.570Z,37.6705017,-118.8186646,10.31,0.87,md,7,165,0.008555,0.04,nc,nc73104481,2018-10-31T20:54:34.366Z,"15km ENE of Mammoth Lakes, CA",earthquake,2.76,4,0.14,7,automatic,nc,nc
2018-10-31T20:47:14.286Z,51.4654,-174.4487,6.7,4,ml,,,,1.15,ak,ak20307073,2018-10-31T21:49:54.397Z,"83km SSW of Atka, Alaska",earthquake,,4.7,,,reviewed,ak,ak
2018-10-31T20:43:27.610Z,37.6443329,-118.8528366,4.77,1.03,md,11,111,0.01489,0.03,nc,nc73104471,2018-10-31T20:45:04.463Z,"11km E of Mammoth Lakes, CA",earthquake,0.98,0.59,0.22,9,automatic,nc,nc
2018-10-31T20:40:17.130Z,37.6486667,-118.8508333,5.24,0.48,md,18,111,0.01598,0.04,nc,nc73104466,2018-10-31T22:15:23.597Z,"11km E of Mammoth Lakes, CA",earthquake,0.58,0.74,0.138,15,reviewed,nc,nc
2018-10-31T20:38:24.736Z,61.0331,-151.8656,89.5,1.3,ml,,,,0.43,ak,ak20307070,2018-10-31T20:41:41.537Z,"49km NW of Nikiski, Alaska",earthquake,,1,,,automatic,ak,ak
2018-10-31T20:34:53.910Z,37.6483345,-118.8496704,5.05,1.2,md,11,123,0.01507,0.04,nc,nc73104461,2018-10-31T21:33:03.873Z,"11km E of Mammoth Lakes, CA",earthquake,0.79,1.38,0.14,11,automatic,nc,nc
2018-10-31T20:34:37.200Z,37.6518326,-118.8535004,3.53,1.04,md,9,133,0.01969,0.05,nc,nc73104456,2018-10-31T20:36:15.003Z,"11km E of Mammoth Lakes, CA",earthquake,0.77,1.05,0.16,9,automatic,nc,nc
2018-10-31T20:30:56.440Z,37.6408333,-118.8696667,4,0.48,md,16,159,0.02186,0.07,nc,nc71109754,2018-10-31T22:12:52.243Z,"10km E of Mammoth Lakes, CA",earthquake,0.48,0.49,0.147,14,reviewed,nc,nc
2018-10-31T20:30:43.440Z,37.6443333,-118.8453333,5.81,0.39,md,15,102,0.009841,0.04,nc,nc73104451,2018-10-31T22:08:52.110Z,"12km E of Mammoth Lakes, CA",earthquake,0.42,0.64,0.146,12,reviewed,nc,nc
2018-10-31T20:29:42.780Z,36.6795006,-121.3113327,5.14,2.2,md,5,164,0.2047,0.06,nc,nc73104436,2018-10-31T21:21:04.812Z,"12km S of Tres Pinos, CA",earthquake,1.31,3.66,,1,automatic,nc,nc
2018-10-31T20:29:01.080Z,37.6426667,-118.8505,4.17,0.28,md,9,112,0.01252,0.02,nc,nc73104441,2018-10-31T22:05:50.723Z,"11km E of Mammoth Lakes, CA",earthquake,0.54,1.6,0.07,6,reviewed,nc,nc
2018-10-31T20:26:11.080Z,37.6441667,-118.849,4.83,0.2,md,9,114,0.01212,0.04,nc,nc73104431,2018-10-31T22:03:20.566Z,"12km E of Mammoth Lakes, CA",earthquake,0.58,1.96,0.162,8,reviewed,nc,nc
2018-10-31T20:23:13.290Z,37.6533318,-118.854332,3.61,0.94,md,8,124,0.02122,0.04,nc,nc73104426,2018-10-31T20:24:49.416Z,"11km E of Mammoth Lakes, CA",earthquake,1.6,1.49,0.23,7,automatic,nc,nc
2018-10-31T20:22:14.010Z,37.6471672,-118.8535004,4.76,1.07,md,12,116,0.01674,0.04,nc,nc73104421,2018-10-31T21:20:03.808Z,"11km E of Mammoth Lakes, CA",earthquake,0.87,0.69,0.41,11,automatic,nc,nc
2018-10-31T20:17:51.790Z,63.2629,-151.37,2.5,1.4,ml,,,,1,ak,ak20307068,2018-10-31T20:22:57.961Z,"122km NNW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-31T20:16:03.410Z,37.6445007,-118.8508301,4.97,1.65,md,20,84,0.01355,0.03,nc,nc73104406,2018-10-31T20:45:04.598Z,"11km E of Mammoth Lakes, CA",earthquake,0.28,0.49,0.31,21,automatic,nc,nc
2018-10-31T20:12:46.450Z,37.6538333,-118.8463333,5.57,0.34,md,9,133,0.01789,0.02,nc,nc73104396,2018-10-31T20:35:09.223Z,"12km E of Mammoth Lakes, CA",earthquake,0.9,31.61,0.058,6,reviewed,nc,nc
2018-10-31T20:03:42.600Z,37.6481667,-118.848,4.69,0.21,md,9,121,0.01402,0.04,nc,nc73104386,2018-10-31T20:57:04.664Z,"12km E of Mammoth Lakes, CA",earthquake,1.22,2.54,0.162,8,reviewed,nc,nc
2018-10-31T19:49:14.677Z,62.9377,-151.3406,117.4,1.6,ml,,,,0.34,ak,ak20307062,2018-10-31T19:54:02.509Z,"93km NW of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2018-10-31T19:47:23.740Z,8.6537,-82.446,10,3.5,ml,,176,0.276,0.8,us,us2000i4xn,2018-10-31T21:52:14.680Z,"4km E of Potrerillos Abajo, Panama",earthquake,3.5,2,0.081,20,reviewed,us,us
2018-10-31T19:42:51.318Z,39.0556,-119.6755,7.9,1.3,ml,16,47.6,0.068,0.1814,nn,nn00663598,2018-10-31T20:15:27.235Z,"4km ENE of Johnson Lane, Nevada",earthquake,,1.1,0.37,10,reviewed,nn,nn
2018-10-31T19:41:07.670Z,35.0605,-118.339,-1.01,1.42,ml,20,44,0.06977,0.14,ci,ci37409842,2018-10-31T20:38:35.197Z,"13km SE of Tehachapi, CA",quarry blast,0.27,31.61,0.133,24,reviewed,ci,ci
